Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
29.784930	42.968458
29.809939	42.923394
29.834947	42.878331
29.859955	42.833267
29.884964	42.788204
29.909972	42.743141
29.934980	42.698077
29.959989	42.653014
29.984997	42.607951
30.010006	42.562828
30.035014	42.516958
30.060022	42.471088
30.085031	42.425218
30.110039	42.379348
30.135047	42.333479
30.160056	42.287609
30.185064	42.241739
30.210072	42.195869
30.235081	42.149999
30.260089	42.104268
30.285097	42.060211
30.310106	42.016154
30.335114	41.972097
30.360122	41.928040
30.385131	41.883983
30.410139	41.839927
30.435147	41.795870
30.460156	41.751813
30.485164	41.707756
30.510172	41.664117
30.535181	41.625293
30.560189	41.586469
30.585197	41.547645
30.610206	41.508821
30.635214	41.469998
30.660222	41.431174
30.685231	41.392350
30.710239	41.353526
30.735247	41.314702
30.760256	41.275827
30.785264	41.236390
30.810272	41.196953
30.835281	41.157516
30.860289	41.118079
30.885297	41.078642
30.910306	41.039205
30.935314	40.999768
30.960322	40.960332
30.985331	40.920895
31.010339	40.880797
31.035347	40.833727
31.060356	40.786657
31.085364	40.739587
31.110372	40.692517
31.135381	40.645447
31.160389	40.598377
31.185397	40.551307
31.210406	40.504237
31.235414	40.457167
31.260422	40.409934
31.285431	40.361051
31.310439	40.312167
31.335447	40.263284
31.360456	40.214401
31.385464	40.165518
31.410472	40.116635
31.435481	40.067751
31.460489	40.018868
31.485497	39.969985
31.510506	39.921701
31.535514	39.879251
31.560522	39.836801
31.585531	39.794351
31.610539	39.751901
31.635547	39.709450
31.660556	39.667000
31.685564	39.624550
31.710572	39.582100
31.735581	39.539650
31.760589	39.497472
31.785598	39.457841
31.810606	39.418211
31.835614	39.378580
31.860623	39.338950
31.885631	39.299319
31.910639	39.259689
31.935648	39.220058
31.960656	39.180428
31.985664	39.140797
32.010673	39.100885
32.035681	39.058435
32.060689	39.015985
32.085698	38.973535
32.110706	38.931085
32.135714	38.888634
32.160723	38.846184
32.185731	38.803734
32.210739	38.761284
32.235748	38.718834
32.260756	38.676426
32.285764	38.634382
32.310773	38.592338
32.335781	38.550295
32.360789	38.508251
32.385798	38.466207
32.410806	38.424164
32.435814	38.382120
32.460823	38.340076
32.485831	38.298032
32.510839	38.256546
32.535848	38.219735
32.560856	38.182925
32.585864	38.146114
32.610873	38.109303
32.635881	38.072492
32.660889	38.035681
32.685898	37.998871
32.710906	37.962060
32.735914	37.925249
32.760923	37.888526
32.785931	37.852515
32.810939	37.816505
32.835948	37.780494
32.860956	37.744483
32.885964	37.708473
32.910973	37.672462
32.935981	37.636451
32.960989	37.600440
32.985998	37.564430
33.011006	37.527872
33.036014	37.487029
33.061023	37.446185
33.086031	37.405342
33.111039	37.364498
33.136048	37.323654
33.161056	37.282811
33.186064	37.241967
33.211073	37.201124
33.236081	37.160280
33.261089	37.119344
33.286098	37.077700
33.311106	37.036056
33.336114	36.994413
33.361123	36.952769
33.386131	36.911125
33.411139	36.869482
33.436148	36.827838
33.461156	36.786195
