Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
22.036715	127.039474
22.061729	127.019597
22.086742	126.999720
22.111755	126.979843
22.136769	126.959966
22.161782	126.940089
22.186795	126.920212
22.211809	126.900335
22.236822	126.880458
22.261835	126.858846
22.286848	126.835303
22.311862	126.811760
22.336875	126.788217
22.361888	126.764674
22.386902	126.741130
22.411915	126.717587
22.436928	126.694044
22.461941	126.670501
22.486955	126.646958
22.511968	126.620820
22.536981	126.591853
22.561995	126.562887
22.587008	126.533920
22.612021	126.504954
22.637035	126.475987
22.662048	126.447021
22.687061	126.418054
22.712074	126.389088
22.737088	126.360121
22.762101	126.326822
22.787114	126.288899
22.812128	126.250976
22.837141	126.213053
22.862154	126.175130
22.887168	126.137207
22.912181	126.099284
22.937194	126.061361
22.962207	126.023438
22.987221	125.985515
23.012234	125.943895
23.037247	125.898413
23.062261	125.852931
23.087274	125.807449
23.112287	125.761967
23.137301	125.716485
23.162314	125.671003
23.187327	125.625521
23.212340	125.580039
23.237354	125.534557
23.262367	125.486255
23.287380	125.435068
23.312394	125.383882
23.337407	125.332696
23.362420	125.281510
23.387434	125.230323
23.412447	125.179137
23.437460	125.127951
23.462473	125.076765
23.487487	125.025579
23.512500	124.968251
23.537513	124.904776
23.562527	124.841300
23.587540	124.777825
23.612553	124.714350
23.637566	124.650874
23.662580	124.587399
23.687593	124.523924
23.712606	124.460448
23.737620	124.396973
23.762633	124.320455
23.787646	124.231155
23.812660	124.141856
23.837673	124.052556
23.862686	123.963256
23.887699	123.873956
23.912713	123.784657
23.937726	123.695357
23.962739	123.606057
23.987753	123.516758
24.012766	123.403853
24.037779	123.268304
24.062793	123.132754
24.087806	122.997204
24.112819	122.861654
24.137832	122.726105
24.162846	122.590555
24.187859	122.455005
24.212872	122.319455
24.237886	122.183906
24.262899	121.998095
24.287912	121.765080
24.312926	121.532064
24.337939	121.299049
24.362952	121.066034
24.387965	120.833019
24.412979	120.600004
24.437992	120.366988
24.463005	120.133973
24.488019	119.900958
24.513032	119.520120
24.538045	119.003374
24.563059	118.486628
24.588072	117.969882
24.613085	117.453137
24.638098	116.936391
24.663112	116.419645
24.688125	115.902900
24.713138	115.386154
24.738152	114.869408
24.763165	113.644578
24.788178	111.782471
24.813191	109.920365
24.838205	108.058258
24.863218	106.196152
24.888231	104.334045
24.913245	102.471938
24.938258	100.609832
24.963271	98.747725
24.988285	96.885618
25.013298	92.533555
25.038311	85.987840
25.063324	79.442125
25.088338	72.896410
25.113351	66.350695
25.138364	59.804980
25.163378	53.259265
25.188391	46.713550
25.213404	40.167834
25.238418	33.622119
25.263431	29.952353
25.288444	28.762737
25.313457	27.573121
25.338471	26.383505
25.363484	25.193889
25.388497	24.004273
25.413511	22.814657
25.438524	21.625041
25.463537	20.435425
25.488551	19.245809
25.513564	18.483630
25.538577	18.082257
25.563590	17.680885
25.588604	17.279512
25.613617	16.878140
25.638630	16.476767
25.663644	16.075395
25.688657	15.674022
25.713670	15.272650
25.738684	14.871277
25.763697	14.577983
25.788710	14.373983
25.813723	14.169984
25.838737	13.965984
25.863750	13.761985
25.888763	13.557985
25.913777	13.353985
25.938790	13.149986
25.963803	12.945986
25.988816	12.741987
26.013830	12.579712
26.038843	12.451179
26.063856	12.322646
26.088870	12.194113
26.113883	12.065580
26.138896	11.937047
26.163910	11.808514
26.188923	11.679980
26.213936	11.551447
26.238949	11.422914
26.263963	11.314836
26.288976	11.222948
26.313989	11.131060
26.339003	11.039171
26.364016	10.947283
