Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=36	
-10.1053368940257	87.85	
-10.0753368940257	87.85	
-10.0453368940257	87.84	
-10.0153368940257	87.83	
-9.98533689402574	87.81	
-9.95533689402575	87.78	
-9.92533689402575	87.76	
-9.89533689402575	87.73	
-9.86533689402575	87.79	
-9.83533689402575	87.85	
-9.80533689402575	87.92	
-9.77533689402575	87.98	
-9.74533689402575	87.99	
-9.71533689402575	87.98	
-9.68533689402575	87.97	
-9.65533689402575	87.96	
-9.62533689402575	87.96	
-9.59533689402575	87.99	
-9.56533689402575	88.03	
-9.53533689402575	88.07	
-9.50533689402575	88.11	
-9.47533689402576	88.10	
-9.44533689402576	88.08	
-9.41533689402576	88.06	
-9.38533689402576	88.04	
-9.35533689402576	88.03	
-9.32533689402576	88.03	
-9.29533689402576	88.03	
-9.26533689402576	88.04	
-9.23533689402576	88.04	
-9.20533689402576	88.04	
-9.17533689402576	88.05	
-9.14533689402576	88.05	
-9.11533689402576	88.05	
-9.08533689402576	88.05	
-9.05533689402576	88.06	
-9.02533689402576	88.06	
-8.99533689402577	88.06	
-8.96533689402577	88.06	
-8.93533689402577	88.06	
-8.90533689402577	88.06	
-8.87533689402577	88.06	
-8.84533689402577	88.06	
-8.81533689402577	88.10	
-8.78533689402577	88.15	
-8.75533689402577	88.21	
-8.72533689402577	88.26	
-8.69533689402577	88.29	
-8.66533689402577	88.24	
-8.63533689402577	88.20	
-8.60533689402577	88.16	
-8.57533689402577	88.11	
-8.54533689402578	88.13	
-8.51533689402578	88.15	
-8.48533689402578	88.17	
-8.45533689402578	88.19	
-8.42533689402578	88.20	
-8.39533689402578	88.19	
-8.36533689402578	88.18	
-8.33533689402578	88.17	
-8.30533689402578	88.16	
-8.27533689402578	88.14	
-8.24533689402578	88.11	
-8.21533689402578	88.08	
-8.18533689402578	88.06	
-8.15533689402578	88.07	
-8.12533689402578	88.10	
-8.09533689402578	88.13	
-8.06533689402579	88.17	
-8.03533689402579	88.19	
-8.00533689402579	88.18	
-7.97533689402579	88.17	
-7.94533689402579	88.16	
-7.91533689402579	88.15	
-7.88533689402579	88.15	
-7.85533689402579	88.15	
-7.82533689402579	88.16	
-7.79533689402578	88.16	
-7.76533689402578	88.16	
-7.73533689402578	88.15	
-7.70533689402578	88.13	
-7.67533689402578	88.12	
-7.64533689402578	88.11	
-7.61533689402578	88.13	
-7.58533689402578	88.16	
-7.55533689402578	88.19	
-7.52533689402578	88.21	
-7.49533689402578	88.22	
-7.46533689402578	88.22	
-7.43533689402578	88.22	
-7.40533689402578	88.21	
-7.37533689402578	88.21	
-7.34533689402578	88.19	
-7.31533689402578	88.17	
-7.28533689402578	88.16	
-7.25533689402578	88.14	
-7.22533689402578	88.14	
-7.19533689402578	88.15	
-7.16533689402578	88.15	
-7.13533689402578	88.16	
-7.10533689402578	88.18	
-7.07533689402578	88.24	
-7.04533689402578	88.29	
-7.01533689402578	88.34	
-6.98533689402578	88.40	
-6.95533689402578	88.40	
-6.92533689402578	88.40	
-6.89533689402578	88.39	
-6.86533689402578	88.39	
-6.83533689402578	88.40	
