Delivery System	U09	
Energy	10 MV	
Scan Type	Crossline	
Depth	5.00	
Field	21cm x 16cm (Jaws)	
Wedge	Open Field	
Comments	26x26 cr	

	5.00 cm : ScanId=407	
-8.78893290000014	139.34	
-8.77893290000014	139.35	
-8.76893290000015	139.36	
-8.75893290000015	139.36	
-8.74893290000015	139.37	
-8.73893290000015	139.38	
-8.72893290000015	139.39	
-8.71893290000015	139.40	
-8.70893290000015	139.41	
-8.69893290000015	139.41	
-8.68893290000015	139.43	
-8.67893290000015	139.45	
-8.66893290000015	139.48	
-8.65893290000015	139.50	
-8.64893290000015	139.53	
-8.63893290000015	139.55	
-8.62893290000015	139.58	
-8.61893290000015	139.60	
-8.60893290000015	139.63	
-8.59893290000015	139.65	
-8.58893290000015	139.68	
-8.57893290000015	139.69	
-8.56893290000015	139.69	
-8.55893290000015	139.69	
-8.54893290000015	139.69	
-8.53893290000015	139.69	
-8.52893290000015	139.69	
-8.51893290000015	139.69	
-8.50893290000015	139.69	
-8.49893290000015	139.69	
-8.48893290000015	139.69	
-8.47893290000015	139.69	
-8.46893290000015	139.69	
-8.45893290000015	139.69	
-8.44893290000015	139.69	
-8.43893290000015	139.69	
-8.42893290000015	139.70	
-8.41893290000015	139.70	
-8.40893290000015	139.70	
-8.39893290000015	139.70	
-8.38893290000015	139.70	
-8.37893290000015	139.70	
-8.36893290000015	139.70	
-8.35893290000015	139.71	
-8.34893290000015	139.72	
-8.33893290000015	139.74	
-8.32893290000015	139.76	
-8.31893290000015	139.77	
-8.30893290000015	139.79	
-8.29893290000016	139.80	
-8.28893290000016	139.82	
-8.27893290000016	139.84	
-8.26893290000016	139.85	
-8.25893290000016	139.87	
-8.24893290000016	139.89	
-8.23893290000016	139.91	
-8.22893290000016	139.94	
-8.21893290000016	139.97	
-8.20893290000016	139.99	
-8.19893290000016	140.02	
-8.18893290000016	140.05	
-8.17893290000016	140.08	
-8.16893290000016	140.10	
-8.15893290000016	140.13	
-8.14893290000016	140.16	
-8.13893290000016	140.17	
-8.12893290000016	140.17	
-8.11893290000016	140.17	
-8.10893290000016	140.17	
-8.09893290000016	140.17	
-8.08893290000016	140.17	
-8.07893290000016	140.17	
-8.06893290000016	140.16	
-8.05893290000016	140.16	
-8.04893290000016	140.16	
-8.03893290000016	140.16	
-8.02893290000016	140.16	
-8.01893290000016	140.15	
-8.00893290000016	140.14	
-7.99893290000016	140.13	
-7.98893290000016	140.12	
-7.97893290000016	140.11	
-7.96893290000016	140.10	
-7.95893290000016	140.09	
-7.94893290000016	140.09	
-7.93893290000016	140.08	
-7.92893290000016	140.07	
-7.91893290000016	140.07	
-7.90893290000016	140.11	
-7.89893290000016	140.15	
-7.88893290000016	140.18	
-7.87893290000016	140.22	
-7.86893290000016	140.26	
-7.85893290000016	140.30	
-7.84893290000016	140.33	
-7.83893290000016	140.37	
-7.82893290000017	140.41	
-7.81893290000017	140.44	
-7.80893290000017	140.47	
-7.79893290000017	140.48	
-7.78893290000017	140.48	
-7.77893290000017	140.48	
-7.76893290000017	140.49	
-7.75893290000017	140.49	
-7.74893290000017	140.49	
-7.73893290000017	140.50	
-7.72893290000017	140.50	
-7.71893290000017	140.50	
-7.70893290000017	140.51	
-7.69893290000017	140.51	
-7.68893290000017	140.52	
-7.67893290000017	140.53	
-7.66893290000017	140.54	
-7.65893290000017	140.54	
-7.64893290000017	140.55	
-7.63893290000017	140.56	
-7.62893290000017	140.57	
-7.61893290000017	140.58	
-7.60893290000017	140.59	
-7.59893290000017	140.59	
-7.58893290000017	140.60	
-7.57893290000017	140.61	
-7.56893290000017	140.61	
-7.55893290000017	140.62	
-7.54893290000017	140.62	
-7.53893290000017	140.63	
-7.52893290000017	140.64	
-7.51893290000017	140.64	
-7.50893290000017	140.65	
-7.49893290000017	140.65	
-7.48893290000017	140.66	
-7.47893290000017	140.66	
-7.46893290000017	140.68	
-7.45893290000017	140.69	
-7.44893290000017	140.70	
-7.43893290000017	140.71	
-7.42893290000017	140.72	
-7.41893290000017	140.73	
-7.40893290000017	140.74	
-7.39893290000017	140.76	
-7.38893290000017	140.77	
-7.37893290000017	140.78	
-7.36893290000017	140.79	
-7.35893290000018	140.79	
-7.34893290000018	140.79	
-7.33893290000018	140.79	
-7.32893290000018	140.79	
-7.31893290000018	140.79	
-7.30893290000018	140.79	
-7.29893290000018	140.79	
-7.28893290000018	140.79	
-7.27893290000018	140.79	
-7.26893290000018	140.79	
-7.25893290000018	140.79	
-7.24893290000018	140.81	
-7.23893290000018	140.84	
-7.22893290000018	140.86	
-7.21893290000018	140.88	
-7.20893290000018	140.90	
-7.19893290000018	140.92	
-7.18893290000018	140.94	
-7.17893290000018	140.96	
-7.16893290000018	140.98	
-7.15893290000018	141.00	
-7.14893290000018	141.02	
-7.13893290000018	141.04	
-7.12893290000018	141.05	
-7.11893290000018	141.06	
-7.10893290000018	141.08	
-7.09893290000018	141.09	
-7.08893290000018	141.10	
-7.07893290000018	141.12	
-7.06893290000018	141.13	
-7.05893290000018	141.15	
-7.04893290000018	141.16	
-7.03893290000018	141.17	
-7.02893290000018	141.16	
-7.01893290000018	141.16	
-7.00893290000018	141.16	
-6.99893290000018	141.16	
-6.98893290000018	141.15	
-6.97893290000018	141.15	
-6.96893290000018	141.15	
-6.95893290000018	141.15	
-6.94893290000018	141.14	
-6.93893290000018	141.14	
-6.92893290000018	141.14	
-6.91893290000018	141.16	
-6.90893290000018	141.18	
-6.89893290000018	141.20	
-6.88893290000019	141.22	
-6.87893290000019	141.23	
-6.86893290000019	141.25	
-6.85893290000019	141.27	
-6.84893290000019	141.29	
-6.83893290000019	141.30	
-6.82893290000019	141.32	
-6.81893290000019	141.33	
-6.80893290000019	141.32	
-6.79893290000019	141.31	
-6.78893290000019	141.30	
-6.77893290000019	141.28	
-6.76893290000019	141.27	
-6.75893290000019	141.26	
-6.74893290000019	141.25	
-6.73893290000019	141.24	
-6.72893290000019	141.23	
-6.71893290000019	141.22	
-6.70893290000019	141.22	
-6.69893290000019	141.26	
-6.68893290000019	141.31	
-6.67893290000019	141.35	
-6.66893290000019	141.39	
-6.65893290000019	141.44	
-6.64893290000019	141.48	
-6.63893290000019	141.52	
-6.62893290000019	141.57	
-6.61893290000019	141.61	
-6.60893290000019	141.65	
-6.59893290000019	141.68	
-6.58893290000019	141.65	
-6.57893290000019	141.63	
-6.56893290000019	141.60	
-6.55893290000019	141.58	
-6.54893290000019	141.56	
-6.53893290000019	141.53	
-6.52893290000019	141.51	
-6.51893290000019	141.48	
-6.50893290000019	141.46	
-6.49893290000019	141.43	
-6.48893290000019	141.42	
-6.47893290000019	141.43	
-6.46893290000019	141.44	
-6.45893290000019	141.45	
-6.44893290000019	141.46	
-6.43893290000019	141.47	
-6.42893290000019	141.48	
-6.4189329000002	141.49	
-6.4089329000002	141.50	
-6.3989329000002	141.51	
-6.3889329000002	141.52	
-6.3789329000002	141.53	
-6.3689329000002	141.54	
-6.3589329000002	141.56	
-6.3489329000002	141.57	
-6.3389329000002	141.58	
-6.3289329000002	141.59	
-6.3189329000002	141.60	
-6.3089329000002	141.62	
-6.2989329000002	141.63	
-6.2889329000002	141.64	
-6.2789329000002	141.65	
-6.2689329000002	141.66	
-6.2589329000002	141.65	
-6.2489329000002	141.64	
-6.2389329000002	141.64	
-6.2289329000002	141.63	
-6.2189329000002	141.62	
-6.2089329000002	141.62	
