Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=35	
-12.1132151828744	87.83	
-12.0832151828744	87.82	
-12.0532151828744	87.82	
-12.0232151828744	87.81	
-11.9932151828744	87.80	
-11.9632151828744	87.79	
-11.9332151828744	87.78	
-11.9032151828744	87.77	
-11.8732151828744	87.77	
-11.8432151828744	87.79	
-11.8132151828744	87.81	
-11.7832151828744	87.83	
-11.7532151828744	87.85	
-11.7232151828744	87.84	
-11.6932151828744	87.83	
-11.6632151828744	87.82	
-11.6332151828744	87.81	
-11.6032151828744	87.80	
-11.5732151828744	87.80	
-11.5432151828744	87.79	
-11.5132151828744	87.78	
-11.4832151828744	87.78	
-11.4532151828744	87.75	
-11.4232151828744	87.72	
-11.3932151828744	87.69	
-11.3632151828744	87.66	
-11.3332151828744	87.67	
-11.3032151828744	87.71	
-11.2732151828744	87.75	
-11.2432151828744	87.80	
-11.2132151828744	87.81	
-11.1832151828744	87.76	
-11.1532151828744	87.71	
-11.1232151828744	87.66	
-11.0932151828744	87.60	
-11.0632151828744	87.65	
-11.0332151828744	87.71	
-11.0032151828744	87.77	
-10.9732151828744	87.83	
-10.9432151828744	87.86	
-10.9132151828744	87.86	
-10.8832151828744	87.86	
-10.8532151828744	87.85	
-10.8232151828744	87.85	
-10.7932151828744	87.85	
-10.7632151828744	87.84	
-10.7332151828744	87.83	
-10.7032151828744	87.83	
-10.6732151828744	87.83	
-10.6432151828744	87.83	
-10.6132151828744	87.84	
-10.5832151828744	87.84	
-10.5532151828744	87.85	
-10.5232151828744	87.84	
-10.4932151828744	87.83	
-10.4632151828744	87.82	
-10.4332151828744	87.81	
-10.4032151828744	87.79	
-10.3732151828744	87.78	
-10.3432151828744	87.76	
-10.3132151828744	87.74	
-10.2832151828744	87.74	
-10.2532151828744	87.77	
-10.2232151828744	87.80	
-10.1932151828745	87.83	
-10.1632151828745	87.86	
-10.1332151828745	87.87	
-10.1032151828745	87.87	
-10.0732151828745	87.87	
-10.0432151828745	87.88	
-10.0132151828745	87.88	
-9.98321518287445	87.89	
-9.95321518287446	87.90	
-9.92321518287446	87.91	
-9.89321518287446	87.92	
-9.86321518287446	87.96	
-9.83321518287446	88.01	
-9.80321518287446	88.05	
-9.77321518287446	88.10	
-9.74321518287446	88.09	
-9.71321518287446	88.06	
-9.68321518287446	88.03	
-9.65321518287446	88.00	
-9.62321518287446	87.99	
-9.59321518287446	88.04	
-9.56321518287446	88.10	
-9.53321518287446	88.15	
-9.50321518287446	88.21	
-9.47321518287447	88.19	
-9.44321518287447	88.15	
-9.41321518287447	88.11	
-9.38321518287447	88.07	
-9.35321518287447	88.06	
-9.32321518287447	88.10	
-9.29321518287447	88.13	
-9.26321518287447	88.16	
-9.23321518287447	88.19	
-9.20321518287447	88.16	
-9.17321518287447	88.14	
-9.14321518287447	88.11	
-9.11321518287447	88.08	
-9.08321518287447	88.09	
-9.05321518287447	88.12	
-9.02321518287448	88.15	
-8.99321518287448	88.18	
-8.96321518287448	88.21	
-8.93321518287448	88.22	
-8.90321518287448	88.22	
-8.87321518287448	88.23	
-8.84321518287448	88.23	
-8.81321518287448	88.25	
-8.78321518287448	88.27	
-8.75321518287448	88.29	
-8.72321518287448	88.31	
-8.69321518287448	88.31	
-8.66321518287448	88.26	
-8.63321518287448	88.20	
-8.60321518287448	88.15	
-8.57321518287448	88.10	
-8.54321518287449	88.12	
-8.51321518287449	88.15	
-8.48321518287449	88.17	
-8.45321518287449	88.20	
-8.42321518287449	88.22	
-8.39321518287449	88.23	
-8.36321518287449	88.24	
-8.33321518287449	88.25	
-8.30321518287449	88.26	
-8.27321518287449	88.26	
-8.24321518287449	88.25	
-8.21321518287449	88.25	
-8.18321518287449	88.24	
-8.15321518287449	88.22	
-8.12321518287449	88.19	
-8.09321518287449	88.16	
-8.0632151828745	88.13	
-8.0332151828745	88.12	
-8.0032151828745	88.17	
-7.9732151828745	88.22	
-7.9432151828745	88.27	
-7.9132151828745	88.32	
-7.8832151828745	88.32	
-7.8532151828745	88.32	
-7.8232151828745	88.31	
-7.7932151828745	88.30	
-7.76321518287449	88.30	
-7.73321518287449	88.29	
-7.70321518287449	88.28	
-7.67321518287449	88.27	
-7.64321518287449	88.26	
-7.61321518287449	88.25	
-7.58321518287449	88.24	
-7.55321518287449	88.24	
-7.52321518287449	88.23	
-7.49321518287449	88.21	
-7.46321518287449	88.19	
-7.43321518287449	88.17	
-7.40321518287449	88.14	
-7.37321518287449	88.14	
-7.34321518287449	88.19	
-7.31321518287449	88.25	
-7.28321518287449	88.31	
-7.25321518287449	88.36	
-7.22321518287449	88.35	
-7.19321518287449	88.32	
-7.16321518287449	88.29	
-7.13321518287449	88.26	
-7.10321518287449	88.26	
-7.07321518287449	88.28	
-7.04321518287449	88.31	
-7.01321518287449	88.33	
-6.98321518287449	88.36	
-6.95321518287449	88.38	
-6.92321518287449	88.40	
-6.89321518287449	88.41	
-6.86321518287449	88.43	
-6.83321518287449	88.45	
-6.80321518287449	88.46	
-6.77321518287449	88.46	
-6.74321518287449	88.47	
-6.71321518287449	88.49	
-6.68321518287449	88.54	
-6.65321518287449	88.60	
-6.62321518287449	88.66	
-6.59321518287449	88.72	
-6.56321518287448	88.70	
-6.53321518287448	88.65	
-6.50321518287448	88.60	
-6.47321518287448	88.55	
-6.44321518287448	88.53	
-6.41321518287448	88.59	
-6.38321518287448	88.65	
-6.35321518287448	88.70	
-6.32321518287448	88.76	
-6.29321518287448	88.80	
-6.26321518287448	88.84	
-6.23321518287448	88.88	
-6.20321518287448	88.92	
-6.17321518287448	88.92	
-6.14321518287448	88.86	
-6.11321518287448	88.81	
-6.08321518287448	88.75	
-6.05321518287448	88.69	
-6.02321518287448	88.72	
-5.99321518287448	88.75	
-5.96321518287448	88.79	
-5.93321518287448	88.82	
-5.90321518287448	88.83	
-5.87321518287448	88.84	
-5.84321518287448	88.85	
-5.81321518287448	88.86	
-5.78321518287448	88.86	
-5.75321518287448	88.81	
-5.72321518287448	88.77	
-5.69321518287448	88.72	
-5.66321518287448	88.68	
-5.63321518287448	88.71	
-5.60321518287448	88.76	
-5.57321518287448	88.81	
-5.54321518287448	88.87	
-5.51321518287448	88.91	
-5.48321518287448	88.93	
-5.45321518287448	88.95	
-5.42321518287448	88.97	
-5.39321518287448	88.98	
-5.36321518287448	88.95	
-5.33321518287447	88.92	
-5.30321518287447	88.88	
-5.27321518287447	88.85	
-5.24321518287447	88.83	
-5.21321518287447	88.83	
-5.18321518287447	88.84	
-5.15321518287447	88.84	
-5.12321518287447	88.85	
-5.09321518287447	88.81	
-5.06321518287447	88.76	
-5.03321518287447	88.72	
-5.00321518287447	88.68	
-4.97321518287447	88.71	
-4.94321518287447	88.75	
-4.91321518287447	88.80	
-4.88321518287447	88.85	
-4.85321518287447	88.88	
-4.82321518287447	88.85	
-4.79321518287447	88.81	
-4.76321518287447	88.77	
-4.73321518287447	88.74	
-4.70321518287447	88.72	
-4.67321518287447	88.70	
-4.64321518287447	88.69	
-4.61321518287447	88.67	
-4.58321518287447	88.69	
-4.55321518287447	88.75	
-4.52321518287447	88.82	
-4.49321518287447	88.88	
-4.46321518287447	88.94	
-4.43321518287447	88.96	
-4.40321518287447	88.98	
-4.37321518287447	89.00	
-4.34321518287447	89.02	
-4.31321518287447	88.98	
-4.28321518287447	88.91	
-4.25321518287447	88.84	
-4.22321518287447	88.77	
-4.19321518287447	88.72	
-4.16321518287447	88.75	
-4.13321518287446	88.78	
-4.10321518287446	88.80	
-4.07321518287446	88.83	
-4.04321518287446	88.82	
-4.01321518287446	88.80	
-3.98321518287446	88.77	
-3.95321518287446	88.74	
-3.92321518287446	88.74	
-3.89321518287446	88.78	
-3.86321518287446	88.83	
-3.83321518287446	88.87	
-3.80321518287447	88.91	
-3.77321518287447	88.86	
-3.74321518287447	88.80	
-3.71321518287447	88.74	
-3.68321518287447	88.68	
-3.65321518287447	88.64	
-3.62321518287447	88.62	
-3.59321518287447	88.60	
-3.56321518287447	88.58	
-3.53321518287447	88.57	
-3.50321518287447	88.65	
-3.47321518287447	88.74	
-3.44321518287447	88.82	
-3.41321518287447	88.91	
-3.38321518287447	88.88	
-3.35321518287447	88.79	
-3.32321518287447	88.70	
-3.29321518287447	88.61	
-3.26321518287447	88.54	
-3.23321518287447	88.58	
-3.20321518287447	88.61	
-3.17321518287447	88.65	
-3.14321518287447	88.68	
-3.11321518287447	88.70	
-3.08321518287447	88.70	
-3.05321518287447	88.71	
-3.02321518287447	88.71	
-2.99321518287447	88.73	
-2.96321518287447	88.75	
-2.93321518287447	88.77	
-2.90321518287447	88.80	
-2.87321518287447	88.82	
-2.84321518287447	88.78	
-2.81321518287447	88.74	
-2.78321518287447	88.69	
-2.75321518287447	88.65	
-2.72321518287447	88.64	
-2.69321518287447	88.65	
-2.66321518287447	88.67	
-2.63321518287447	88.68	
-2.60321518287447	88.70	
-2.57321518287447	88.73	
-2.54321518287447	88.76	
-2.51321518287447	88.78	
-2.48321518287447	88.81	
-2.45321518287447	88.79	
-2.42321518287447	88.75	
-2.39321518287447	88.70	
